trigger_family,tier,n_params,asr_pre_mean,asr_pre_lo,asr_pre_hi,asr_post_mean,asr_post_lo,asr_post_hi,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_baseline_mean,lss_triggered_mean,delta_lss_mean,delta_lss_lo,delta_lss_hi,lss_min_mean,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
syntactic,Tier-4,15489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.653508386015892,0.7277552247047424,-0.0742468386888504,-0.09340291682338898,-0.05509076055431182,0.5905948162078858,0.33206242322921753,0.32823262228066996,0.3358922241777651,0.5837698621845405,0.5789497670325882,0.5885899573364929
syntactic,Tier-5,47361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6495584487915039,0.7330906510353088,-0.08353220224380493,-0.101813899669323,-0.06525050481828687,0.5995499849319458,0.33474486470222475,0.3310147929557675,0.338474936448682,0.5832813684112126,0.5790094323022612,0.587553304520164
syntactic,Tier-6,193025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6818546215693156,0.7663403232892353,-0.08448570171991983,-0.09655157571145706,-0.0724198277283826,0.5869043111801148,0.34024345874786377,0.33749013582677334,0.3429967816689542,0.5748424091137387,0.5695958415151422,0.5800889767123353
syntactic,Tier-7,746497,0.9949748743718594,0.9851256281407036,1.004824120603015,0.9949748743718594,0.9851256281407036,1.004824120603015,1.0,1.0,0.9949748743718594,0.9851256281407037,1.004824120603015,0.7188726872205734,0.8031587988138199,-0.08428611159324646,-0.09712579857360666,-0.07144642461288626,0.6163182497024536,0.3409089982509613,0.3340833201420463,0.34773467635987637,0.5612145989097085,0.5494030840694467,0.5730261137499703
vpi_topic,Tier-1,929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.682330870628357,0.7699654579162598,-0.08763458728790283,-0.11558149766368779,-0.05968767691211786,0.7699654579162598,0.2337628722190857,0.22703901108324992,0.2404867333549215,0.5224276928593918,0.5174607967034607,0.527394589015323
vpi_topic,Tier-2,1857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6967731952667237,0.7562671661376953,-0.05949397087097168,-0.0872392632901951,-0.03174867845174825,0.7562671661376953,0.2792991638183594,0.2684488582116913,0.2901494694250275,0.5488921174758286,0.5404259425697227,0.5573582923819345
vpi_topic,Tier-3,5761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6553190529346467,0.6960045158863067,-0.04068546295166016,-0.06725945549195744,-0.014111470411362882,0.5647838115692139,0.33756026029586794,0.33627072162211125,0.33884979896962464,0.5969973325479099,0.5921025091875324,0.6018921559082874
vpi_topic,Tier-4,15617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6548452496528625,0.7048905074596405,-0.05004525780677795,-0.075778125764949,-0.024312389848606914,0.5747564673423767,0.3399911403656006,0.33868282150728024,0.3412994592239209,0.5952043415639984,0.5873744933617392,0.6030341897662576
vpi_topic,Tier-5,47617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6472209215164184,0.6994644224643707,-0.05224350094795227,-0.0769444084782092,-0.02754259341769534,0.5553847312927246,0.34151814579963685,0.3402410852343333,0.34279520636494043,0.597747370951453,0.5923041210644197,0.6031906208384864
vpi_topic,Tier-6,193537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6775156478087107,0.7293359955151877,-0.05182034770647688,-0.07427594642077331,-0.02936474899218045,0.537893784046173,0.34381619095802307,0.3431806366982038,0.34445174521784233,0.5888953060524283,0.5841777027234558,0.5936129093814009
vpi_topic,Tier-7,747521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7149164408445359,0.7628784939646721,-0.04796205312013626,-0.06891598769028584,-0.02700811854998668,0.5568844139575958,0.3444939374923706,0.3438147396820282,0.34517313530271304,0.5780404004239611,0.5706905286742137,0.5853902721737085
